H|U2222116|Position|20221205|04:14:41|20221202|1.98|
Type|AccountID|ConID|SecurityID|Symbol|BBTicker|BBGlobalID|SecurityDescription|AssetType|Currency|BaseCurrency|Quantity|QuantityInBase|CostPrice|CostBasis|CostBasisInBase|MarketPrice|MarketValue|MarketValueInBase|OpenDateTime|FxRateToBase|ReportDate|SettledQuantity|SettledQuantityInBase|MasterAccountID|Van|AccruedInt|OriginatingOrderID|Multiplier|
D|U2222116|||||||INTACC|USD|USD|6957.53|6957.53|0|0|0|0|0|0||1|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|CAD|USD|118.76|88.1507976|0|0|0|0|0|0||0.74226|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|NOK|USD|-456.58|-46.7263972|0|0|0|0|0|0||0.10234|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|AUD|USD|-1179.21|-801.2142345|0|0|0|0|0|0||0.67945|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|SGD|USD|-253.04|-187.1003064|0|0|0|0|0|0||0.73941|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|JPY|USD|-37797|-281.4062244|0|0|0|0|0|0||0.0074452|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|GBP|USD|42.21|51.884532|0|0|0|0|0|0||1.2292|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|SEK|USD|-2354.44|-228.204097|0|0|0|0|0|0||0.096925|20221202|0|0|||0||1|
D|U2222116|||||||INTACC|CNH|USD|-361.04|-51.4445896|0|0|0|0|0|0||0.14249|20221202|0|0|||0||1|
D|U2222116|||||||DIVACC|USD|USD|7636.02|7636.02|0|0|0|0|0|0||1|20221202|0|0|||0||1|
T|44|
