DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	TEKNOSA IC VE DIS TRY1	TRETKNO00010	B7TJR61	200000.	0	0	200000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	KOC HLDG TRY1 (B SHARES)	TRAKCHOL91Q8	B03MVJ8	70000.	0	20000.	50000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	DEVA HOLDING AS TRY1 (C SHARES)	TRADEVAW91E2	B03MR90	100000.	0	0	100000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000002190	NT0 BNP PARIBAS PORTUGAL	Portugal	SONAE SGPS SA EUR1	PTSON0AM0001	5973992	300000.	0	0	300000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	GEN ILAC VE SAGLIK TRY1	TREGENL00024	BN2TVP7	100000.	0	0	100000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	BIOTRENDCCEVRE VE TRY1	TREBION00012	BNG2V18	100000.	0	0	100000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000007069	NT0 SKANDINAVISKA ENSKILDA BANKEN NO	Norway	WALLENIUS WILHELMSEN                    LOGISTICS ASA	NO0010571680	B55WMQ5	25000.	0	0	25000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	BOSSA TRY1	TRABOSSA91B5	B03MQ48	119372.	0	0	119372.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	KONYA CIMENTO TRY1	TRAKONYA91F6	B03MVN2	737.	0	0	737.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000005234	NT0 CITIBANK BANK TURKEY	Turkey	VAKKO TEKSTIL TRY1	TRAVAKKO91B7	B03MZ74	100000.	0	0	100000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000000004	NT0 EUROCLEAR	Multi-National Agencies Region	KASPI.KZ JSC SPONSORED GDR REG S	US48581R2058	BMXZ8G7	2000.	0	0	2000.	DI	 	0	0	0	0
DDQ01	DDQ01	DOUBLE RIVER INVESTMENTS	2022-12-02	000000287	NT0 HSBC BK KOREA	Korea, Republic Of	KOREA ASSET IN TRU KRW500	KR7123890006	BD6NPN1	70000.	0	0	70000.	DI	 	0	0	0	0
