"2022-12-02","TRADE","DDQ01",00000000200000.00,"","B03MV43","TRAKRDMA91G3"
"2022-12-02","TRADE","DDQ01",00000000150000.00,"","B03MZK7","TRAYATAS91B4"
"2022-12-02","TRADE","DDQ01",00000000371158.00,"","B03MRV2","TRAEDIPW91B3"
"2022-12-02","TRADE","DDQ01",00000000100000.00,"","B03MPK7","TRAAYENW91L0"
"2022-12-02","TRADE","DDQ01",00000000080000.00,"","B3RCH53","TRELKMH00013"
"2022-12-02","TRADE","DDQ01",00000002000000.00,"","B6Y3LL4","TREADSE00015"
"2022-12-02","TRADE","DDQ01",00000000300000.00,"","B151SC2","TREBSKY00016"
"2022-12-02","TRADE","DDQ01",00000001400000.00,"","BDT8SW3","TREPEGY00022"
"2022-12-02","TRADE","DDQ01",00000000020000.00,"","BK5Z0G5","TRENATU00026"
"2022-12-02","TRADE","DDQ01",00000001000000.00,"","B624LY2","TRECMAS00010"
"2022-12-02","TRADE","DDQ01",00000000100000.00,"","B03MPM9","TRABAGFS91E2"
"2022-12-02","TRADE","DDQ01",00000000020000.00,"","B1FGXJ9","TW0003515003"
"2022-12-02","TRADE","DDQ01",00000000040000.00,"","6211583","TW0008924002"
"2022-12-02","TRADE","DDQ01",00000000002000.00,"48581R205","BMXZ8G7","US48581R2058"
"2022-12-02","TRADE","DDQ01",00000000015000.00,"92837L109","BJ84772","US92837L1098"
"2022-12-02","TRADE","DDQ01",00000000030000.00,"","B5N90B9","VN000000VIX5"
