Client,Account,NT-custom Identifier,ISIN,Symbol,Description,Quantity,MV,Purcahse Price,Position Date,Security Type
DOUBLE RIVER INVESTMENTS,DDQ01,B0YVBS3,INE246F01010,XBOM,GUJARAT STATE PETR INR10(DEMAT),15000,263.7,288.656,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BNXFR89,INE0CT101020,XBOM,MEGHMANI ORGANICS INR1,150000,111.15,21.115,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6342289,INE516A01017,XBOM,UFLEX LTD INR10,40000,603.2,321.241,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BC43RR4,INE442H01029,XBOM,ASHOKA BUILDCON LT INR5,250000,81.45,58.497,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6325280,INE757A01017,XBOM,COSMO FIRST LTD,45000,843.4,300.531,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6771838,KR7003230000,XKRX,SAMYANG FOODS KRW5000,3500,112500,102446.748,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B65GVR8,KR7136490000,XKRX,SUNJIN CO LTD/NEW,7000,8890,21034.778,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B040QM9,KR7067990002,XKOS,DEUTSCH MOTORS INC KRW500,700,6550,6486.655,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B1Z2M67,KR7069410009,XKOS,NTELS CO. LTD. KRW500,15000,5540,8475.087,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BD6NPN1,KR7123890006,XKRX,KOREA ASSET IN TRU KRW500,70000,3350,3605.079,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B1WT3H9,KR7009410002,XKRX,TAEYOUNG ENG&CON KRW500,25000,4900,10254.328,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B55WMQ5,NO0010571680,XOSL,WALLENIUS WILHELMSEN,25000,87.9,94.761,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BJK0P85,BMG4233B1090,XOSL,HAFNIA LIMITED USD0.01,50000,52.5,59.181,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,5810066,PLPKN0000018,XWAR,PKN ORLEN SA PLN1.25,20000,64.5,63.612,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B3F97B2,PLENEA000013,XWAR,ENEA SA PLN1.00,150000,5.96,5.823,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B4K4P04,TREINFM00017,XIST,INFO YATIRIM A.S. TRY1 (B SHARES),200000,11.44,11.357,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZB8,TRAVESTL91H6,XIST,VESTEL ELECTRONIK TRY1,1733,65.6,59.709,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MW51,TRAMNDRS91B0,XIST,MENDERES TEKSTIL TRY1 (B SHARES),250000,9.38,9.326,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MTT4,TRAIPMAT92D2,XIST,IPEK DOGAL ENERJI TRY1 (C SHARES),125000,37.12,30.812,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MQG0,TRABUCIM91F3,XIST,BURSA CIMENTO TRY1,1000000,6.19,4.588,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MY88,TRATSKBW91N0,XIST,TURKIYE SINAI KALK TRY1,750000,4.04,4.082,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BF5M481,TREMAVI00037,XIST,MAVI GIYIM SANAYI TRY1,50000,122,82.324,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MQ48,TRABOSSA91B5,XIST,BOSSA TRY1,119372,15.35,16.032,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MRG7,TRADOHOL91Q8,XIST,DOGAN SIRKETLER TRY1,400000,8.16,6.747,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZ74,TRAVAKKO91B7,XIST,VAKKO TEKSTIL TRY1,100000,69.05,19.993,20221202,Common Stock
